Województwo zameldowania na pobyt stały,Nazwisko aktualne,Liczba
DOLNOŚLĄSKIE,NOWAK,5822
DOLNOŚLĄSKIE,KOWALSKA,4209
DOLNOŚLĄSKIE,WÓJCIK,3239
DOLNOŚLĄSKIE,KOWALCZYK,3036
DOLNOŚLĄSKIE,MAZUR,2969
DOLNOŚLĄSKIE,ZIELIŃSKA,2784
DOLNOŚLĄSKIE,WIŚNIEWSKA,2736
DOLNOŚLĄSKIE,SZYMAŃSKA,2717
DOLNOŚLĄSKIE,DĄBROWSKA,2619
DOLNOŚLĄSKIE,WOŹNIAK,2602
DOLNOŚLĄSKIE,KAMIŃSKA,2413
DOLNOŚLĄSKIE,KOZŁOWSKA,2350
DOLNOŚLĄSKIE,KRAWCZYK,2115
DOLNOŚLĄSKIE,JANKOWSKA,2079
DOLNOŚLĄSKIE,ZAJĄC,2070
DOLNOŚLĄSKIE,LEWANDOWSKA,2029
DOLNOŚLĄSKIE,KWIATKOWSKA,2025
DOLNOŚLĄSKIE,WOJCIECHOWSKA,2013
DOLNOŚLĄSKIE,KACZMAREK,1962
DOLNOŚLĄSKIE,PIOTROWSKA,1947
DOLNOŚLĄSKIE,JAWORSKA,1943
DOLNOŚLĄSKIE,PAWŁOWSKA,1794
DOLNOŚLĄSKIE,KRÓL,1791
DOLNOŚLĄSKIE,STĘPIEŃ,1782
DOLNOŚLĄSKIE,MICHALSKA,1658
DOLNOŚLĄSKIE,JASIŃSKA,1626
DOLNOŚLĄSKIE,WRÓBEL,1600
DOLNOŚLĄSKIE,DUDEK,1575
DOLNOŚLĄSKIE,SZEWCZYK,1544
DOLNOŚLĄSKIE,NOWICKA,1530
DOLNOŚLĄSKIE,GÓRSKA,1498
DOLNOŚLĄSKIE,SIKORA,1488
DOLNOŚLĄSKIE,MALINOWSKA,1471
DOLNOŚLĄSKIE,KOŁODZIEJ,1470
DOLNOŚLĄSKIE,MAJEWSKA,1431
DOLNOŚLĄSKIE,JAKUBOWSKA,1416
DOLNOŚLĄSKIE,JABŁOŃSKA,1406
DOLNOŚLĄSKIE,WIECZOREK,1391
DOLNOŚLĄSKIE,GRABOWSKA,1389
DOLNOŚLĄSKIE,ADAMCZYK,1375
DOLNOŚLĄSKIE,SAWICKA,1372
DOLNOŚLĄSKIE,SOKOŁOWSKA,1361
DOLNOŚLĄSKIE,OSTROWSKA,1352
DOLNOŚLĄSKIE,WITKOWSKA,1349
DOLNOŚLĄSKIE,MARCINIAK,1341
DOLNOŚLĄSKIE,SZCZEPAŃSKA,1340
DOLNOŚLĄSKIE,NOWAKOWSKA,1317
DOLNOŚLĄSKIE,TOMASZEWSKA,1312
DOLNOŚLĄSKIE,WRÓBLEWSKA,1295
DOLNOŚLĄSKIE,OLSZEWSKA,1288
DOLNOŚLĄSKIE,WALCZAK,1273
DOLNOŚLĄSKIE,PAWLAK,1267
DOLNOŚLĄSKIE,BARAN,1264
DOLNOŚLĄSKIE,WŁODARCZYK,1244
DOLNOŚLĄSKIE,WILK,1224
DOLNOŚLĄSKIE,ZAWADZKA,1208
DOLNOŚLĄSKIE,KUCHARSKA,1161
DOLNOŚLĄSKIE,CHMIELEWSKA,1145
DOLNOŚLĄSKIE,SADOWSKA,1138
DOLNOŚLĄSKIE,LIS,1084
DOLNOŚLĄSKIE,MICHALAK,1080
DOLNOŚLĄSKIE,KUBIAK,1072
DOLNOŚLĄSKIE,BĄK,1049
DOLNOŚLĄSKIE,MRÓZ,1043
DOLNOŚLĄSKIE,DUDA,1027
DOLNOŚLĄSKIE,RUTKOWSKA,1025
DOLNOŚLĄSKIE,MAZUREK,1021
DOLNOŚLĄSKIE,RUDNICKA,1016
DOLNOŚLĄSKIE,JANIK,1003
DOLNOŚLĄSKIE,KURIATA,991
DOLNOŚLĄSKIE,PIETRZAK,978
DOLNOŚLĄSKIE,MACIEJEWSKA,976
DOLNOŚLĄSKIE,CZARNECKA,975
DOLNOŚLĄSKIE,MARKOWSKA,961
DOLNOŚLĄSKIE,ZALEWSKA,959
DOLNOŚLĄSKIE,WIERZBICKA,957
DOLNOŚLĄSKIE,MARKIEWICZ,956
DOLNOŚLĄSKIE,MAZURKIEWICZ,950
DOLNOŚLĄSKIE,WYSOCKA,940
DOLNOŚLĄSKIE,JAROSZ,939
DOLNOŚLĄSKIE,KONIECZNA,936
DOLNOŚLĄSKIE,KOZAK,931
DOLNOŚLĄSKIE,SIKORSKA,930
DOLNOŚLĄSKIE,BORKOWSKA,927
DOLNOŚLĄSKIE,ADAMSKA,920
DOLNOŚLĄSKIE,BIELECKA,913
DOLNOŚLĄSKIE,BAGIŃSKA,911
DOLNOŚLĄSKIE,BARANOWSKA,902
DOLNOŚLĄSKIE,MUSIAŁ,901
DOLNOŚLĄSKIE,ZIĘBA,896
DOLNOŚLĄSKIE,KRAJEWSKA,884
DOLNOŚLĄSKIE,URBAŃSKA,884
DOLNOŚLĄSKIE,KRUPA,883
DOLNOŚLĄSKIE,SZCZEPANIAK,871
DOLNOŚLĄSKIE,KOPEĆ,870
DOLNOŚLĄSKIE,MIKOŁAJCZYK,870
DOLNOŚLĄSKIE,STANKIEWICZ,869
DOLNOŚLĄSKIE,CZERWIŃSKA,867
DOLNOŚLĄSKIE,KOWAL,865
DOLNOŚLĄSKIE,PAWLIK,859
DOLNOŚLĄSKIE,ZIÓŁKOWSKA,845
DOLNOŚLĄSKIE,PRZYBYLSKA,841
DOLNOŚLĄSKIE,WASILEWSKA,841
DOLNOŚLĄSKIE,WOLSKA,841
DOLNOŚLĄSKIE,NOWACKA,834
DOLNOŚLĄSKIE,BEDNARZ,831
DOLNOŚLĄSKIE,GAJEWSKA,831
DOLNOŚLĄSKIE,KOZIOŁ,831
DOLNOŚLĄSKIE,KRUK,825
DOLNOŚLĄSKIE,BŁASZCZYK,824
DOLNOŚLĄSKIE,SZYMCZAK,823
DOLNOŚLĄSKIE,OLEJNIK,822
DOLNOŚLĄSKIE,WILCZYŃSKA,813
DOLNOŚLĄSKIE,CZAJKOWSKA,811
DOLNOŚLĄSKIE,MAKOWSKA,811
DOLNOŚLĄSKIE,URBANIAK,811
DOLNOŚLĄSKIE,PIASECKA,807
DOLNOŚLĄSKIE,KAŹMIERCZAK,797
DOLNOŚLĄSKIE,DOBROWOLSKA,790
DOLNOŚLĄSKIE,KOWALIK,790
DOLNOŚLĄSKIE,MUCHA,782
DOLNOŚLĄSKIE,LECH,781
DOLNOŚLĄSKIE,SZULC,773
DOLNOŚLĄSKIE,WESOŁOWSKA,773
DOLNOŚLĄSKIE,SOBCZAK,765
DOLNOŚLĄSKIE,KUCZYŃSKA,760
DOLNOŚLĄSKIE,JANICKA,759
DOLNOŚLĄSKIE,ORŁOWSKA,759
DOLNOŚLĄSKIE,BOROWSKA,758
DOLNOŚLĄSKIE,LISOWSKA,758
DOLNOŚLĄSKIE,LEŚNIAK,755
DOLNOŚLĄSKIE,LIPIŃSKA,753
DOLNOŚLĄSKIE,DZIEDZIC,752
DOLNOŚLĄSKIE,GÓRECKA,752
DOLNOŚLĄSKIE,KALINOWSKA,752
DOLNOŚLĄSKIE,GŁOWACKA,748
DOLNOŚLĄSKIE,LESZCZYŃSKA,747
DOLNOŚLĄSKIE,PIĄTEK,746
DOLNOŚLĄSKIE,CIESIELSKA,743
DOLNOŚLĄSKIE,WAWRZYNIAK,743
DOLNOŚLĄSKIE,BRZEZIŃSKA,741
DOLNOŚLĄSKIE,ŚLIWIŃSKA,740
DOLNOŚLĄSKIE,ZARZYCKA,731
DOLNOŚLĄSKIE,KĘDZIERSKA,730
DOLNOŚLĄSKIE,URBAN,727
DOLNOŚLĄSKIE,KOT,722
DOLNOŚLĄSKIE,SKIBA,721
DOLNOŚLĄSKIE,ANDRZEJEWSKA,717
DOLNOŚLĄSKIE,KACZMARCZYK,717
DOLNOŚLĄSKIE,ZAKRZEWSKA,716
DOLNOŚLĄSKIE,ŻAK,714
DOLNOŚLĄSKIE,LASKOWSKA,711
DOLNOŚLĄSKIE,DOMAGAŁA,705
DOLNOŚLĄSKIE,ŻYGADŁO,704
DOLNOŚLĄSKIE,WÓJTOWICZ,703
DOLNOŚLĄSKIE,BEDNAREK,699
DOLNOŚLĄSKIE,MORAWSKA,694
DOLNOŚLĄSKIE,ŁUCZAK,689
DOLNOŚLĄSKIE,MADEJ,681
DOLNOŚLĄSKIE,STASIAK,681
DOLNOŚLĄSKIE,NAWROCKA,679
DOLNOŚLĄSKIE,TOMCZYK,675
DOLNOŚLĄSKIE,CIEŚLAK,673
DOLNOŚLĄSKIE,KARPIŃSKA,670
DOLNOŚLĄSKIE,DROZD,669
DOLNOŚLĄSKIE,MARSZAŁEK,668
DOLNOŚLĄSKIE,KUREK,666
DOLNOŚLĄSKIE,BEDNARSKA,663
DOLNOŚLĄSKIE,KOŁODZIEJCZYK,663
DOLNOŚLĄSKIE,ZAWADA,663
DOLNOŚLĄSKIE,KASPRZAK,662
DOLNOŚLĄSKIE,SOCHA,660
DOLNOŚLĄSKIE,RAK,658
DOLNOŚLĄSKIE,ŚWIĄTEK,658
DOLNOŚLĄSKIE,KOWALEWSKA,657
DOLNOŚLĄSKIE,DOMAŃSKA,638
DOLNOŚLĄSKIE,SOBCZYK,637
DOLNOŚLĄSKIE,BRZOZOWSKA,634
DOLNOŚLĄSKIE,MAŁECKA,627
DOLNOŚLĄSKIE,KLIMEK,626
DOLNOŚLĄSKIE,JASTRZĘBSKA,621
DOLNOŚLĄSKIE,MAJ,620
DOLNOŚLĄSKIE,PODGÓRSKA,617
DOLNOŚLĄSKIE,LEWICKA,616
DOLNOŚLĄSKIE,POLAK,616
DOLNOŚLĄSKIE,MAREK,612
DOLNOŚLĄSKIE,MARCINKOWSKA,608
DOLNOŚLĄSKIE,OWCZAREK,608
DOLNOŚLĄSKIE,SOWA,604
DOLNOŚLĄSKIE,KASPRZYK,602
DOLNOŚLĄSKIE,KANIA,596
DOLNOŚLĄSKIE,WRONA,596
DOLNOŚLĄSKIE,ORZECHOWSKA,591
DOLNOŚLĄSKIE,ROGOWSKA,591
DOLNOŚLĄSKIE,WINIARSKA,588
DOLNOŚLĄSKIE,MICHALIK,580
DOLNOŚLĄSKIE,SZYDŁOWSKA,579
DOLNOŚLĄSKIE,KUROWSKA,578
DOLNOŚLĄSKIE,BIAŁEK,576
DOLNOŚLĄSKIE,SOBOLEWSKA,576
DOLNOŚLĄSKIE,SKOWROŃSKA,575
DOLNOŚLĄSKIE,TOMCZAK,573
DOLNOŚLĄSKIE,SOSNOWSKA,568
DOLNOŚLĄSKIE,BIERNACKA,563
DOLNOŚLĄSKIE,CHOJNACKA,562
DOLNOŚLĄSKIE,SROKA,562
DOLNOŚLĄSKIE,BANAŚ,559
DOLNOŚLĄSKIE,GOŁĘBIOWSKA,557
DOLNOŚLĄSKIE,MUSZYŃSKA,553
DOLNOŚLĄSKIE,PALUCH,543
DOLNOŚLĄSKIE,KRAWIEC,542
DOLNOŚLĄSKIE,MIELCZAREK,542
DOLNOŚLĄSKIE,SERAFIN,540
DOLNOŚLĄSKIE,JANISZEWSKA,531
DOLNOŚLĄSKIE,MATKOWSKA,528
DOLNOŚLĄSKIE,MATUSIAK,525
DOLNOŚLĄSKIE,SMOLIŃSKA,525
DOLNOŚLĄSKIE,KUBICKA,523
DOLNOŚLĄSKIE,ŚWIDERSKA,521
DOLNOŚLĄSKIE,GAJDA,520
DOLNOŚLĄSKIE,ZAJĄCZKOWSKA,520
DOLNOŚLĄSKIE,CIEŚLA,517
DOLNOŚLĄSKIE,GRZESIAK,517
DOLNOŚLĄSKIE,KOSIŃSKA,517
DOLNOŚLĄSKIE,KWIECIEŃ,517
DOLNOŚLĄSKIE,KACZOR,514
DOLNOŚLĄSKIE,CYBULSKA,511
DOLNOŚLĄSKIE,PTAK,511
DOLNOŚLĄSKIE,BRONOWICKA,509
DOLNOŚLĄSKIE,BUKOWSKA,509
DOLNOŚLĄSKIE,KULIK,508
DOLNOŚLĄSKIE,MAJCHRZAK,508
DOLNOŚLĄSKIE,SIENKIEWICZ,507
DOLNOŚLĄSKIE,RYBAK,504
DOLNOŚLĄSKIE,WĘGRZYN,502
DOLNOŚLĄSKIE,PLUTA,501
DOLNOŚLĄSKIE,MAŁEK,500
DOLNOŚLĄSKIE,ŁUKASIK,499
DOLNOŚLĄSKIE,CHMIEL,497
DOLNOŚLĄSKIE,GIL,494
DOLNOŚLĄSKIE,MATUSZEWSKA,494
DOLNOŚLĄSKIE,ROMANOWSKA,492
DOLNOŚLĄSKIE,RATAJCZAK,491
DOLNOŚLĄSKIE,PARTYKA,488
DOLNOŚLĄSKIE,CHRZANOWSKA,486
DOLNOŚLĄSKIE,JUSZCZAK,485
DOLNOŚLĄSKIE,WOŁOSZYN,485
DOLNOŚLĄSKIE,GĄSIOR,484
DOLNOŚLĄSKIE,GRZELAK,484
DOLNOŚLĄSKIE,ŚLIWA,484
DOLNOŚLĄSKIE,ŻUKOWSKA,484
DOLNOŚLĄSKIE,MARCZAK,481
DOLNOŚLĄSKIE,KRZYŻANOWSKA,479
DOLNOŚLĄSKIE,OLEJNICZAK,477
DOLNOŚLĄSKIE,BOBER,472
DOLNOŚLĄSKIE,ŻURAWSKA,471
DOLNOŚLĄSKIE,PAJĄK,470
DOLNOŚLĄSKIE,SKOWRON,469
DOLNOŚLĄSKIE,PASTERNAK,467
DOLNOŚLĄSKIE,WOLAK,467
DOLNOŚLĄSKIE,POLAŃSKA,466
DOLNOŚLĄSKIE,TUREK,463
DOLNOŚLĄSKIE,GRZYBOWSKA,462
DOLNOŚLĄSKIE,BARAŃSKA,459
DOLNOŚLĄSKIE,JANIAK,458
DOLNOŚLĄSKIE,BUCZEK,457
DOLNOŚLĄSKIE,KLIMCZAK,455
DOLNOŚLĄSKIE,GÓRAL,454
DOLNOŚLĄSKIE,MICHAŁOWSKA,452
DOLNOŚLĄSKIE,WITEK,449
DOLNOŚLĄSKIE,DROZDOWSKA,448
DOLNOŚLĄSKIE,CIEŚLIK,447
DOLNOŚLĄSKIE,BIELAK,446
DOLNOŚLĄSKIE,BIELAWSKA,446
DOLNOŚLĄSKIE,GAWRON,446
DOLNOŚLĄSKIE,CZECH,445
DOLNOŚLĄSKIE,STACHOWIAK,445
DOLNOŚLĄSKIE,MARZEC,442
DOLNOŚLĄSKIE,TARNOWSKA,442
DOLNOŚLĄSKIE,KORZENIOWSKA,441
DOLNOŚLĄSKIE,BUJAK,440
DOLNOŚLĄSKIE,STEFAŃSKA,440
DOLNOŚLĄSKIE,ZAREMBA,439
DOLNOŚLĄSKIE,ADAMOWICZ,438
DOLNOŚLĄSKIE,RÓŻAŃSKA,437
DOLNOŚLĄSKIE,KALETA,436
DOLNOŚLĄSKIE,ROGALA,436
DOLNOŚLĄSKIE,STRZELECKA,434
DOLNOŚLĄSKIE,PANEK,433
DOLNOŚLĄSKIE,GÓRNIAK,432
DOLNOŚLĄSKIE,SZATKOWSKA,432
DOLNOŚLĄSKIE,MALEC,431
DOLNOŚLĄSKIE,SOWIŃSKA,431
DOLNOŚLĄSKIE,BILIŃSKA,429
DOLNOŚLĄSKIE,RZEPKA,427
DOLNOŚLĄSKIE,STEC,427
DOLNOŚLĄSKIE,KRZEMIŃSKA,426
DOLNOŚLĄSKIE,JÓŹWIAK,425
DOLNOŚLĄSKIE,MILEWSKA,425
DOLNOŚLĄSKIE,ZYCH,424
DOLNOŚLĄSKIE,STELMACH,422
DOLNOŚLĄSKIE,DŁUGOSZ,421
DOLNOŚLĄSKIE,KUBIK,420
DOLNOŚLĄSKIE,ŁUKASIEWICZ,417
DOLNOŚLĄSKIE,SŁOWIK,416
DOLNOŚLĄSKIE,SZYMCZYK,416
DOLNOŚLĄSKIE,CZAJKA,415
DOLNOŚLĄSKIE,KOZIEŁ,415
DOLNOŚLĄSKIE,SZCZYGIEŁ,415
DOLNOŚLĄSKIE,BEDNARCZYK,413
DOLNOŚLĄSKIE,CICHOŃ,413
DOLNOŚLĄSKIE,ŻUREK,413
DOLNOŚLĄSKIE,ŻUK,410
DOLNOŚLĄSKIE,BOROWIEC,406
DOLNOŚLĄSKIE,GÓRA,406
DOLNOŚLĄSKIE,JANOWSKA,406
DOLNOŚLĄSKIE,KUŚ,405
DOLNOŚLĄSKIE,HAJDUK,402
DOLNOŚLĄSKIE,NIEMIEC,402
DOLNOŚLĄSKIE,SZOSTAK,402
DOLNOŚLĄSKIE,ROSIŃSKA,401
DOLNOŚLĄSKIE,POPŁAWSKA,400
DOLNOŚLĄSKIE,STANISZEWSKA,398
DOLNOŚLĄSKIE,DĘBSKA,394
DOLNOŚLĄSKIE,GAWEŁ,393
DOLNOŚLĄSKIE,KRÓLIKOWSKA,393
DOLNOŚLĄSKIE,PIETRZYK,391
DOLNOŚLĄSKIE,STEFANIAK,391
DOLNOŚLĄSKIE,KOGUT,390
DOLNOŚLĄSKIE,OSIŃSKA,389
DOLNOŚLĄSKIE,SIERADZKA,389
DOLNOŚLĄSKIE,SKRZYPCZAK,389
DOLNOŚLĄSKIE,SOŁTYS,389
DOLNOŚLĄSKIE,MAĆKOWIAK,388
DOLNOŚLĄSKIE,GRACZYK,387
DOLNOŚLĄSKIE,TOKARSKA,386
DOLNOŚLĄSKIE,LISIECKA,385
DOLNOŚLĄSKIE,SKRZYPEK,385
DOLNOŚLĄSKIE,AUGUSTYNIAK,384
DOLNOŚLĄSKIE,GAŁKA,384
DOLNOŚLĄSKIE,MIKOŁAJCZAK,382
DOLNOŚLĄSKIE,BURZYŃSKA,381
DOLNOŚLĄSKIE,CYGAN,380
DOLNOŚLĄSKIE,PAŁKA,379
DOLNOŚLĄSKIE,JANAS,378
DOLNOŚLĄSKIE,BANACH,377
DOLNOŚLĄSKIE,SKOCZYLAS,377
DOLNOŚLĄSKIE,WIĄCEK,376
DOLNOŚLĄSKIE,CZYŻ,374
DOLNOŚLĄSKIE,JANUS,373
DOLNOŚLĄSKIE,WĄSIK,373
DOLNOŚLĄSKIE,GAWLIK,371
DOLNOŚLĄSKIE,JĘDRZEJCZYK,371
DOLNOŚLĄSKIE,MIELNIK,371
DOLNOŚLĄSKIE,SIWEK,371
DOLNOŚLĄSKIE,JANUSZ,369
DOLNOŚLĄSKIE,TRACZ,369
DOLNOŚLĄSKIE,CICHOCKA,368
DOLNOŚLĄSKIE,KULESZA,368
DOLNOŚLĄSKIE,LACH,367
DOLNOŚLĄSKIE,MAJCHER,367
DOLNOŚLĄSKIE,OLEKSY,367
DOLNOŚLĄSKIE,SURMA,367
DOLNOŚLĄSKIE,SZYDEŁKO,366
DOLNOŚLĄSKIE,PASZKOWSKA,365
DOLNOŚLĄSKIE,KUBACKA,364
DOLNOŚLĄSKIE,KUJAWA,364
DOLNOŚLĄSKIE,PIEKARSKA,363
DOLNOŚLĄSKIE,URBANOWICZ,363
DOLNOŚLĄSKIE,KULCZYCKA,362
DOLNOŚLĄSKIE,RACZYŃSKA,362
DOLNOŚLĄSKIE,IWANICKA,361
DOLNOŚLĄSKIE,GRUSZCZYŃSKA,360
DOLNOŚLĄSKIE,MASŁOWSKA,360
DOLNOŚLĄSKIE,NAWROT,360
DOLNOŚLĄSKIE,PIETRAS,360
DOLNOŚLĄSKIE,ZIELONKA,360
DOLNOŚLĄSKIE,GRZYB,359
DOLNOŚLĄSKIE,SZWED,359
DOLNOŚLĄSKIE,MAJKA,358
DOLNOŚLĄSKIE,PIĄTKOWSKA,358
DOLNOŚLĄSKIE,JAŚKIEWICZ,357
DOLNOŚLĄSKIE,LEŚNIEWSKA,357
DOLNOŚLĄSKIE,SIWAK,357
DOLNOŚLĄSKIE,PROKOP,356
DOLNOŚLĄSKIE,WOJTOWICZ,356
DOLNOŚLĄSKIE,BIENIEK,355
DOLNOŚLĄSKIE,ROGALSKA,355
DOLNOŚLĄSKIE,TKACZYK,355
DOLNOŚLĄSKIE,JURKIEWICZ,354
DOLNOŚLĄSKIE,BILSKA,353
DOLNOŚLĄSKIE,CZAJA,353
DOLNOŚLĄSKIE,FILIPIAK,351
DOLNOŚLĄSKIE,KISIEL,350
DOLNOŚLĄSKIE,MŁYNARCZYK,350
DOLNOŚLĄSKIE,SZAFRAŃSKA,350
DOLNOŚLĄSKIE,DUDZIAK,348
DOLNOŚLĄSKIE,WROŃSKA,348
DOLNOŚLĄSKIE,KULIG,347
DOLNOŚLĄSKIE,WOJTCZAK,347
DOLNOŚLĄSKIE,KUCHARCZYK,346
DOLNOŚLĄSKIE,MACKIEWICZ,346
DOLNOŚLĄSKIE,RÓŻYCKA,346
DOLNOŚLĄSKIE,WALKOWIAK,346
DOLNOŚLĄSKIE,BIERNAT,345
DOLNOŚLĄSKIE,ILNICKA,345
DOLNOŚLĄSKIE,SŁOWIŃSKA,345
DOLNOŚLĄSKIE,KSIĄŻEK,344
DOLNOŚLĄSKIE,DOBOSZ,343
DOLNOŚLĄSKIE,GÓRNA,342
DOLNOŚLĄSKIE,GRUSZKA,342
DOLNOŚLĄSKIE,KACZOROWSKA,341
DOLNOŚLĄSKIE,MATYSIAK,341
DOLNOŚLĄSKIE,SALAMON,341
DOLNOŚLĄSKIE,BOCHENEK,340
DOLNOŚLĄSKIE,DAWIDOWICZ,340
DOLNOŚLĄSKIE,GROCHOWSKA,340
DOLNOŚLĄSKIE,BOREK,339
DOLNOŚLĄSKIE,KMIECIK,339
DOLNOŚLĄSKIE,MIERZWA,338
DOLNOŚLĄSKIE,ŻMUDA,335
DOLNOŚLĄSKIE,RADOMSKA,334
DOLNOŚLĄSKIE,FERENC,333
DOLNOŚLĄSKIE,CHMURA,331
