Województwo zameldowania na pobyt stały,Nazwisko aktualne,Liczba
DOLNOŚLĄSKIE,NOWAK,5607
DOLNOŚLĄSKIE,KOWALSKI,4043
DOLNOŚLĄSKIE,WÓJCIK,3110
DOLNOŚLĄSKIE,KOWALCZYK,2886
DOLNOŚLĄSKIE,MAZUR,2883
DOLNOŚLĄSKIE,SZYMAŃSKI,2594
DOLNOŚLĄSKIE,ZIELIŃSKI,2571
DOLNOŚLĄSKIE,WOŹNIAK,2555
DOLNOŚLĄSKIE,WIŚNIEWSKI,2541
DOLNOŚLĄSKIE,DĄBROWSKI,2426
DOLNOŚLĄSKIE,KAMIŃSKI,2228
DOLNOŚLĄSKIE,KOZŁOWSKI,2219
DOLNOŚLĄSKIE,ZAJĄC,2095
DOLNOŚLĄSKIE,KRAWCZYK,1948
DOLNOŚLĄSKIE,JANKOWSKI,1904
DOLNOŚLĄSKIE,LEWANDOWSKI,1903
DOLNOŚLĄSKIE,WOJCIECHOWSKI,1880
DOLNOŚLĄSKIE,KWIATKOWSKI,1870
DOLNOŚLĄSKIE,KACZMAREK,1846
DOLNOŚLĄSKIE,JAWORSKI,1845
DOLNOŚLĄSKIE,PIOTROWSKI,1804
DOLNOŚLĄSKIE,KRÓL,1715
DOLNOŚLĄSKIE,PAWŁOWSKI,1701
DOLNOŚLĄSKIE,STĘPIEŃ,1688
DOLNOŚLĄSKIE,WRÓBEL,1570
DOLNOŚLĄSKIE,MICHALSKI,1554
DOLNOŚLĄSKIE,DUDEK,1533
DOLNOŚLĄSKIE,JASIŃSKI,1517
DOLNOŚLĄSKIE,NOWICKI,1464
DOLNOŚLĄSKIE,SIKORA,1455
DOLNOŚLĄSKIE,GÓRSKI,1438
DOLNOŚLĄSKIE,MALINOWSKI,1437
DOLNOŚLĄSKIE,KOŁODZIEJ,1414
DOLNOŚLĄSKIE,SZEWCZYK,1397
DOLNOŚLĄSKIE,WIECZOREK,1370
DOLNOŚLĄSKIE,GRABOWSKI,1369
DOLNOŚLĄSKIE,JAKUBOWSKI,1365
DOLNOŚLĄSKIE,SAWICKI,1353
DOLNOŚLĄSKIE,MAJEWSKI,1314
DOLNOŚLĄSKIE,JABŁOŃSKI,1282
DOLNOŚLĄSKIE,BARAN,1277
DOLNOŚLĄSKIE,WRÓBLEWSKI,1275
DOLNOŚLĄSKIE,NOWAKOWSKI,1269
DOLNOŚLĄSKIE,MARCINIAK,1262
DOLNOŚLĄSKIE,SOKOŁOWSKI,1254
DOLNOŚLĄSKIE,TOMASZEWSKI,1246
DOLNOŚLĄSKIE,WITKOWSKI,1232
DOLNOŚLĄSKIE,OSTROWSKI,1230
DOLNOŚLĄSKIE,PAWLAK,1230
DOLNOŚLĄSKIE,WALCZAK,1217
DOLNOŚLĄSKIE,SZCZEPAŃSKI,1215
DOLNOŚLĄSKIE,OLSZEWSKI,1212
DOLNOŚLĄSKIE,ADAMCZYK,1196
DOLNOŚLĄSKIE,WILK,1195
DOLNOŚLĄSKIE,WŁODARCZYK,1167
DOLNOŚLĄSKIE,ZAWADZKI,1123
DOLNOŚLĄSKIE,KUCHARSKI,1106
DOLNOŚLĄSKIE,LIS,1103
DOLNOŚLĄSKIE,MICHALAK,1097
DOLNOŚLĄSKIE,CHMIELEWSKI,1091
DOLNOŚLĄSKIE,SADOWSKI,1091
DOLNOŚLĄSKIE,BĄK,1052
DOLNOŚLĄSKIE,MRÓZ,1037
DOLNOŚLĄSKIE,DUDA,1003
DOLNOŚLĄSKIE,ZALEWSKI,1002
DOLNOŚLĄSKIE,KUBIAK,983
DOLNOŚLĄSKIE,RUDNICKI,959
DOLNOŚLĄSKIE,KONIECZNY,949
DOLNOŚLĄSKIE,KURIATA,948
DOLNOŚLĄSKIE,RUTKOWSKI,944
DOLNOŚLĄSKIE,JANIK,942
DOLNOŚLĄSKIE,KOZAK,942
DOLNOŚLĄSKIE,JAROSZ,922
DOLNOŚLĄSKIE,MAZUREK,919
DOLNOŚLĄSKIE,BAGIŃSKI,903
DOLNOŚLĄSKIE,PIETRZAK,896
DOLNOŚLĄSKIE,MACIEJEWSKI,893
DOLNOŚLĄSKIE,WYSOCKI,893
DOLNOŚLĄSKIE,ZIĘBA,887
DOLNOŚLĄSKIE,WIERZBICKI,882
DOLNOŚLĄSKIE,BORKOWSKI,880
DOLNOŚLĄSKIE,KOWAL,870
DOLNOŚLĄSKIE,CZARNECKI,868
DOLNOŚLĄSKIE,MARKIEWICZ,868
DOLNOŚLĄSKIE,MAZURKIEWICZ,866
DOLNOŚLĄSKIE,MARKOWSKI,864
DOLNOŚLĄSKIE,MIKOŁAJCZYK,861
DOLNOŚLĄSKIE,BIELECKI,859
DOLNOŚLĄSKIE,KOZIOŁ,855
DOLNOŚLĄSKIE,SIKORSKI,855
DOLNOŚLĄSKIE,CZERWIŃSKI,850
DOLNOŚLĄSKIE,NOWACKI,843
DOLNOŚLĄSKIE,MUSIAŁ,832
DOLNOŚLĄSKIE,KRUPA,829
DOLNOŚLĄSKIE,BARANOWSKI,827
DOLNOŚLĄSKIE,KOPEĆ,825
DOLNOŚLĄSKIE,PAWLIK,818
DOLNOŚLĄSKIE,PRZYBYLSKI,816
DOLNOŚLĄSKIE,ZIÓŁKOWSKI,811
